"age","age_range_old","age_range_young","age_units","ageolder","agetype","ageyounger","analysisunitid","area","chronologyid","chronologyname","collunitid.x","collunitid.y","context","covertype","database","datasetid","datasetnotes","datasettype","depth","description","dripheight","dripheightunits","ecologicalgroup","element","elementtype","elev","entitycoverthickness","entityid","entityname","entrancedistance","entrancedistanceunits","landusecoverpercent","landusecovertype","lat","long","monitoring","recdatecreated","relativeage","sampleanalyst","sampleid","samplename","siteid","sitename","sitenotes","speleothemdriptype","speleothemtype","symmetry","taxongroup","taxonid","thickness","units","value","variablename","vegetationcoverpercent","vegetationcovertype"
53270.2138975,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737435,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",0.25,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893088,"4956",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27853,NA,"per mille",-7.98,"δ18O",NA,"sparse"
53270.2138975,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737435,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",0.25,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893088,"4956",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27851,NA,"per mille",-4.86,"δ13C",NA,"sparse"
53873.4858505,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737436,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",0.3,NA,NA,"m",NA,NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893089,"4957",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Chemical substance",53019,NA,NA,3072,"238U",NA,"sparse"
53873.4858505,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737436,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",0.3,NA,NA,"m",NA,NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893089,"4957",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Chemical substance",53018,NA,NA,3290,"232Th",NA,"sparse"
53873.4858505,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737436,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",0.3,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893089,"4957",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27853,NA,"per mille",-8.36,"δ18O",NA,"sparse"
53873.4858505,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737436,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",0.3,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893089,"4957",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27851,NA,"per mille",-4.95,"δ13C",NA,"sparse"
54476.7578035,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737437,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",0.4,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893090,"4958",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27853,NA,"per mille",-8.25,"δ18O",NA,"sparse"
54476.7578035,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737437,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",0.4,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893090,"4958",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27851,NA,"per mille",-4.39,"δ13C",NA,"sparse"
55080.0297566,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737438,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",0.5,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893091,"4959",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27853,NA,"per mille",-8.02,"δ18O",NA,"sparse"
55080.0297566,235118.52933,53270.2138975,NA,NA,"Calibrated radiocarbon years BP",NA,737438,NA,51540,"interp",49511,49511,NA,NA,"SISAL",66789,NA,"speleothem",0.5,NA,NA,"m","ITOP",NA,NA,2000,NA,12,"KS06-A",NA,NA,NA,"Mixed Broadleaf/Needleleaf Forests",42.87,81.75,FALSE,NA,"Gauss","",893091,"4959",37302,"Kesang Cave",NA,"unknown","stalagmite",NA,"Stable isotopes",27851,NA,"per mille",-4.6,"δ13C",NA,"sparse"
